Time	Author	Message	Skype Name
8/26/2014 22:38	Skyper 2	…	skyper2
8/26/2014 22:42	Skyper 2	…	skyper2
8/26/2014 22:43	Skyper 1	…	skyper1
8/26/2014 22:44	Skyper 1	…	skyper1
8/26/2014 22:44	Skyper 2	…	skyper2
8/26/2014 22:45	Skyper 1	…	skyper1
8/26/2014 22:45	Skyper 2	…	skyper2
8/26/2014 22:45	Skyper 1	…	skyper1
8/26/2014 22:45	Skyper 1	…	skyper1
8/26/2014 22:49	Skyper 2	…	skyper2
8/26/2014 22:49	Skyper 1	…	skyper1
8/26/2014 22:50	Skyper 2	…	skyper2
8/26/2014 22:51	Skyper 1	…	skyper1
8/26/2014 22:51	Skyper 2	…	skyper2
8/26/2014 22:52	Skyper 1	…	skyper1
8/26/2014 22:52	Skyper 2	…	skyper2
8/26/2014 22:54	Skyper 1	…	skyper1
8/26/2014 22:55	Skyper 1	…	skyper1
8/26/2014 22:55	Skyper 1	…	skyper1
8/26/2014 22:58	Skyper 1	…	skyper1
8/26/2014 23:03	Skyper 1	…	skyper1
8/26/2014 23:04	Skyper 2	…	skyper2
8/26/2014 23:05	Skyper 1	…	skyper1
8/26/2014 23:17	Skyper 1	…	skyper1
8/26/2014 23:17	Skyper 1	…	skyper1
8/26/2014 23:17	Skyper 2	…	skyper2
8/26/2014 23:18	Skyper 1	…	skyper1
8/26/2014 23:32	Skyper 1	…	skyper1
8/26/2014 23:33	Skyper 2	…	skyper2
8/26/2014 23:33	Skyper 2	…	skyper2
8/26/2014 23:33	Skyper 1	…	skyper1
8/26/2014 23:35	Skyper 1	…	skyper1
8/26/2014 23:35	Skyper 2	…	skyper2
8/27/2014 8:56	Skyper 2	…	skyper2
8/27/2014 9:41	Skyper 2	…	skyper2
8/27/2014 9:41	Skyper 2	…	skyper2
8/27/2014 9:55	Skyper 2	…	skyper2
8/27/2014 9:55	Skyper 2	…	skyper2
8/27/2014 11:47	Skyper 1	…	skyper1
8/27/2014 11:47	Skyper 1	…	skyper1
8/27/2014 11:56	Skyper 1	…	skyper1
8/27/2014 13:07	Skyper 2	…	skyper2
8/27/2014 13:07	Skyper 1	…	skyper1
8/27/2014 13:07	Skyper 2	…	skyper2
8/27/2014 13:08	Skyper 1	…	skyper1
8/27/2014 13:08	Skyper 1	…	skyper1
8/27/2014 13:08	Skyper 1	…	skyper1
8/27/2014 13:09	Skyper 2	…	skyper2
8/27/2014 13:09	Skyper 2	…	skyper2
8/27/2014 13:10	Skyper 1	…	skyper1
8/27/2014 13:12	Skyper 1	…	skyper1
8/27/2014 13:13	Skyper 1	…	skyper1
8/27/2014 16:06	Skyper 2	…	skyper2
8/27/2014 16:07	Skyper 2	…	skyper2
8/27/2014 16:07	Skyper 2	…	skyper2
8/27/2014 16:09	Skyper 2	…	skyper2
8/27/2014 16:13	Skyper 1	…	skyper1
8/27/2014 16:19	Skyper 2	…	skyper2
8/27/2014 16:20	Skyper 1	…	skyper1
8/27/2014 16:20	Skyper 1	…	skyper1
8/27/2014 16:20	Skyper 2	…	skyper2
8/27/2014 16:21	Skyper 1	…	skyper1
8/27/2014 16:21	Skyper 1	…	skyper1
8/27/2014 16:22	Skyper 1	…	skyper1
8/27/2014 16:22	Skyper 1	…	skyper1
8/27/2014 16:28	Skyper 2	…	skyper2
8/27/2014 16:29	Skyper 2	…	skyper2
8/27/2014 16:30	Skyper 1	…	skyper1
8/27/2014 16:40	Skyper 2	…	skyper2
8/27/2014 16:40	Skyper 2	…	skyper2
8/27/2014 16:40	Skyper 2	…	skyper2
8/27/2014 16:49	Skyper 1	…	skyper1
8/27/2014 16:49	Skyper 2	…	skyper2
8/27/2014 16:50	Skyper 1	…	skyper1
8/27/2014 16:50	Skyper 1	…	skyper1
8/27/2014 16:55	Skyper 1	…	skyper1
8/27/2014 16:55	Skyper 2	…	skyper2
8/27/2014 16:57	Skyper 1	…	skyper1
8/27/2014 16:57	Skyper 1	…	skyper1
8/27/2014 16:58	Skyper 1	…	skyper1
8/27/2014 16:58	Skyper 2	…	skyper2
8/27/2014 16:58	Skyper 2	…	skyper2
8/27/2014 16:59	Skyper 1	…	skyper1
8/27/2014 17:00	Skyper 1	…	skyper1
8/27/2014 17:00	Skyper 1	…	skyper1
8/27/2014 17:01	Skyper 1	…	skyper1
8/27/2014 17:01	Skyper 1	…	skyper1
8/27/2014 17:02	Skyper 1	…	skyper1
8/27/2014 17:02	Skyper 2	…	skyper2
8/27/2014 17:02	Skyper 1	…	skyper1
8/27/2014 17:02	Skyper 2	…	skyper2
8/27/2014 17:03	Skyper 1	…	skyper1
8/27/2014 17:03	Skyper 2	…	skyper2
8/27/2014 17:03	Skyper 1	…	skyper1
8/27/2014 17:03	Skyper 1	…	skyper1
8/27/2014 17:03	Skyper 1	…	skyper1
8/27/2014 17:04	Skyper 1	…	skyper1
8/27/2014 17:04	Skyper 1	…	skyper1
8/27/2014 17:05	Skyper 1	…	skyper1
8/27/2014 17:05	Skyper 1	…	skyper1
8/27/2014 17:06	Skyper 1	…	skyper1
8/27/2014 17:06	Skyper 2	…	skyper2
8/27/2014 17:06	Skyper 1	…	skyper1
8/27/2014 17:06	Skyper 1	…	skyper1
8/27/2014 17:07	Skyper 1	…	skyper1
8/27/2014 17:08	Skyper 1	…	skyper1
8/27/2014 17:08	Skyper 2	…	skyper2
8/27/2014 17:08	Skyper 1	…	skyper1
8/27/2014 17:09	Skyper 1	…	skyper1
8/27/2014 17:18	Skyper 1	…	skyper1
8/27/2014 17:21	Skyper 2	…	skyper2
8/27/2014 17:23	Skyper 1	…	skyper1
8/27/2014 17:23	Skyper 1	…	skyper1
8/27/2014 17:23	Skyper 1	…	skyper1
8/27/2014 17:23	Skyper 1	…	skyper1
8/27/2014 17:41	Skyper 2	…	skyper2
8/27/2014 17:41	Skyper 2	…	skyper2
8/27/2014 17:42	Skyper 1	…	skyper1
8/27/2014 17:42	Skyper 1	…	skyper1
